index,ID
" 
 OTTO [FREDERIK THEOBALD] EVENS",peOE
 HERMAN FREDERIK EWALD,peHFE
 [ADOLPH EDUARD] OTTO VON FABER DU FAUR,peOvF
 WILHELM VON FABER DU FAUR,peWvF
 WILHELM CHRISTIAN FABRITIUS,peWCFa
 ALMA [ISABELLA] f. Bosse FAHLSTRØM,peAlBo
 JOHAN [PETER BROUST] FAHLSTRØM,peJF
 CHRISTIAN [FREDERIK] FALBE,peCFF
 SØREN FALCH,peSFa
 FREDERIK FERDINAND FALKENSTJERNE,peFFF
 ADOLF FALKMAN,peAdF
 SEVERIN [GABRIEL] FALKMAN,peSFal
 [MORTEN] EDVARD FALLESEN,peEF
" 
 CONRAD FALSEN",peCF
 DOROTHEA [ELISABETH] f. Thoresen FALSEN,peDFa
 HENRIK ANTON FALSEN,peHAF
 MAGDALENA FALSEN,peMF
 GEORG [FREDERIK CHRISTOPHER] FASTING,peGFF
 ELLEN FAVORIN,peEFa
" 
 ANDREAS FAYE",peAFa
 THOMAS [NICOLAY] FEARNLEY,peTFe
 [FREDERIK LAURENTIUS] LORRY FEILBERG,peLFe
 [OLOF OTTO] URBAN VON (pseud. Robinson) FEILITZEN,peUvF
 LUIGI FERRI,peFeLu
 HEINRICH (Freiherr) VON FERSTEL,peHvF
 ZDENKO (Zdeněk) FIBICH,peZF
 [JOHAN] ANDREAS [NEERGAARD] FIBIGER,peAF
 FRIEDRICH FIEDLER,peFrFr
 JOHAN CHRISTIAN HENRIK FISCHER,peJCHF
 SAMUEL FISCHER,peSFi
 GUSTAV [CHRISTIAN JACOB PIERRE NESTOR] FISTAINE,peFist
 LAURA [MATHILDA BERNHARDINA] f. Runsten FITINGHOFF,peLFi
 [LAURA MATHILDA EDLA] ROSA FITINGHOFF,peRFi
 JAKOB/JACOB [HENRIK GERHARD] FJELDE,peJHGF
 [AXEL] WILHELM FLACH,peWF
" 
 OLE [HENRIKSEN] FLADAGER",peOF
 RICHARD FLEISCHER,peRF
" 
 CHRISTIAN [LUDVIG] FLOOR 
",peCLFl
 [CHRISTIAN] WILHELM FOGHT,peCWF
 FRANZ GRAF FOLLIOT DE CRENNEVILLE,peFGFdC
 CARL [ANDREAS] FOUGSTAD,peCFoug
 ERNST [MORITZ] FRANCKE,peEMF
 FRU VON FRANQUE,peFruF
 FREDERIK 7.,peKongF7
 FREDRIK VILHELM 1.,peFrV
 [JOHAN] GUSTAF FREDRIKSON,peGF
 ANNA f. Götzel FREYTAG,peAFr
 GUSTAV FREYTAG,peGFr
 FRIEDRICH FRIEDLÄNDER,peFF
" 
 CHRISTIAN [FREDERIK GOTFRIED] FRIELE",peCFGF
 HERMAN FRIELE,peHFri
 POVL [PETER JØRGEN] FRIIS,pePF
 JOHAN FRIMODT,peJFr
 HENRIETTE [MARIE CHRISTINA] f. von Cronberg FROMM,peHeFr
 LUDWIG [CARL MATTHIAS JOSEF] FREIHERR VON FROMM,peLvFr
 THEODOR [CHRISTIAN BRUN] FRØLICH,peThF
 IDA f. Theumer eller Theumann FULDA,peIFu
 LUDWIG [ANTON SALOMON] FULDA,peLF
 [JOHANN OTTO] LUDWIG GABILLON,peLGa
" GOTTLIEB ERNST CLAUSEN GAD 
",peGECG
" 
 LUDVIG HARALD GADE",peLHG
 NIELS WILHELM GADE,peNWG
 GALILEO GALILEI,peGGal
 GREGORY SERGEJEVITSJ GALITZIN,peGSG
 PIETRO GALLETTI,pePiGa
 LÉON GAMBETTA,peLeGa
" JOACHIM [CHRISTIAN] GAMBORG 
",peJCG
 HUGO GANZ,peHGa
 ARNE (Aadne) GARBORG,peAGa
