,title,type,date,ID,clearname,fullID
V18770408WilWar,Dedikasjon til Wilhelm von Wartenegg i Die Herrin von Oestrot,dedication,1877-04-08,WilWar,N/A,N/A
V18771021VvM,Dedikasjon til V. v. Maurer i Samfundets støtter,dedication,1877-10-21,VvM,N/A,N/A
V18771129WHe,Dedikasjon til Wilhelm Henzen,dedication,1877-11-29,WHe,N/A,N/A
V18771130LDi,Dedikasjon til Ludwig Diestel i Stützen der Gesellschaft,dedication,1877-11-30,LDi,N/A,N/A
V1877JLo,Dedikasjon til Jacob Løkke i Die Herrin von Oestrot,dedication,1877,JLo,JAKOB [OLAUS] LØKKE,peJLo
V1877PHey,Dedikasjon til Paul Heyse i Die Herrin von Oestrot,dedication,1877,PHey,PAUL HEYSE,pePHey
V1877OSch,Dedikasjon til Oswald Schmidt i Die Herrin von Oestrot,dedication,1877,OSch,OSWALD SCHMIDT,peOSch
V18780716frkHel,Hilsen til Katharina Helferich på fotografi,greeting,1878-07-16,frkHel,frøken HELFERICH,pefrkHel
V18780830MRi,Dedikasjon til Max Ring i Die Herrin von Oestrot,dedication,1878-08-30,MRi,N/A,N/A
V18781210CAbr,Hilsen til C. Abrahams på baksiden av fotografi limt inn i Brand,greeting,1878-12-10,CAbr,N/A,N/A
V1878CSti,Dedikasjon til Carl Stieler i Stützen der Gesellschaft,dedication,1878,CSti,N/A,N/A
Vudat1878CJ,Hilsen til Carl Jenke på fotografi,greeting,1878,CJ,KARL JENKE,peCJ
V18791215NN,Del av dedikasjon (bok og mottager ukjent),dedication,1879-12-15,NN,N/A,N/A
V18791224CleNi,Dedikasjon til fru Clemence Nielsen i Et Dukkehjem,dedication,1879-12-24,CleNi,N/A,N/A
Vudat1879MLa,Hilsen til M. Larsson på fotografi,greeting,1879,MLa,N/A,N/A
V18800120BH,Hilsen til Betty Hennings på fotografi,greeting,1880-01-20,BH,BETTY [MATHILDE] f. Schnell HENNINGS,peBH
V18800120EPo,Hilsen til Emil Poulsen på fotografi,greeting,1880-01-20,EPo,[CHRISTIAN] EMIL POULSEN,peEPo
V18810617SuI,Fødselsdagskort til Susanna Ibsen,greeting,1881-06-17,SuI,SUSANNA/SUZANNAH f. Daae Thoresen IBSEN,peSuI
